Album,Artist,Total Streams,Artist Streams
Cold Chisel,Cold Chisel,"114,464,979","480,666,355"
Breakfast At Sweethearts,Cold Chisel,"20,647,936","480,666,355"
East,Cold Chisel,"124,851,444","480,666,355"
Circus Animals,Cold Chisel,"96,675,795","480,666,355"
Twentieth Century,Cold Chisel,"98,203,425","480,666,355"
The Last Wave Of Summer,Cold Chisel,"6,015,437","480,666,355"
No Plans,Cold Chisel,"6,769,406","480,666,355"
The Perfect Crime,Cold Chisel,"7,747,420","480,666,355"
Blood Moon,Cold Chisel,"3,289,543","480,666,355"
All For One,The Screaming Jets,"53,370,604",80361609
Tear Of Thought,The Screaming Jets,"22,229,133",80361609
The Screaming Jets,The Screaming Jets,"2,390,033",80361609
World Gone Crazy,The Screaming Jets,"6,507,378",80361609
Do Ya,The Screaming Jets,"435,038",80361609
Chrome,The Screaming Jets,"856,055",80361609
Gotcha Covered,The Screaming Jets,"2,676,782",80361609
Professional Misconduct,The Screaming Jets,"483,847",80361609
Back In Black,AC/DC,"4,764,073,793","14,753,695,473"
Highway to Hell,AC/DC,"2,504,143,749","14,753,695,473"
The Razor's Edge,AC/DC,"2,307,531,331","14,753,695,473"
High Voltage,AC/DC,"1,403,743,991","14,753,695,473"
Dirty Deeds Done Dirt Cheap,AC/DC,"591,111,357","14,753,695,473"
Black Ice,AC/DC,"451,653,721","14,753,695,473"
Power Up,AC/DC,"355,576,006","14,753,695,473"
Let There Be Rock,AC/DC,"352,042,360","14,753,695,473"
Rock Or Bust,AC/DC,"319,954,776","14,753,695,473"
For Those About To Rock (We Salute You),AC/DC,"225,015,395","14,753,695,473"
Stiff Upper Lip,AC/DC,"167,702,489","14,753,695,473"
Powerage,AC/DC,"150,919,886","14,753,695,473"
Ballbreaker,AC/DC,"133,647,955","14,753,695,473"
Fly On The Wall,AC/DC,"69,215,840","14,753,695,473"
Blow Up Your Video,AC/DC,"64,961,871","14,753,695,473"
Flick Of The Switch,AC/DC,"48,497,298","14,753,695,473"
Noiseworks,Noiseworks,"54,122,717",48091863
Touch,Noiseworks,"13,180,633",48091863
Love Versus Money,Noiseworks,"7,666,662",48091863
Evolution,Noiseworks,"1,093,779",48091863
30:30 Hindsight,Jimmy Barnes,"148,474,555","312,669,784"
Freight Train Heart,Jimmy Barnes,"34,451,096","312,669,784"
For The Working Class Man,Jimmy Barnes,"61,906,062","312,669,784"
Soul Deep,Jimmy Barnes,"65,290,475","312,669,784"
My Criminal Record,Jimmy Barnes,"20,597,440","312,669,784"
Two Fires,Jimmy Barnes,"10,053,810","312,669,784"
Flesh And Wood,Jimmy Barnes,"8,877,508","312,669,784"
Blue Christmas,Jimmy Barnes,"6,813,590","312,669,784"
Heat,Jimmy Barnes,"3,354,005","312,669,784"
Soul Searchin',Jimmy Barnes,"3,265,321","312,669,784"
Double Happiness,Jimmy Barnes,"2,454,180","312,669,784"
Flesh And Blood,Jimmy Barnes,"2,171,925","312,669,784"
Soul Deeper,Jimmy Barnes,"1,898,739","312,669,784"
The Rhythm And The Blues,Jimmy Barnes,"1,356,064","312,669,784"
Defiant,Jimmy Barnes,"1,065,506","312,669,784"
Out In The Blue,Jimmy Barnes,"955,410","312,669,784"
Rage And Ruin,Jimmy Barnes,"810,307","312,669,784"
Bodyswerve,Jimmy Barnes,"772,797","312,669,784"
Love And Fear,Jimmy Barnes,"419,821","312,669,784"
Psyclone,Jimmy Barnes,"359,061","312,669,784"
Man Of Colours,Icehouse,"104,670,828","263,758,330"
Primitive Man,Icehouse,"104,621,355","263,758,330"
Measure For Measure,Icehouse,"9,663,379","263,758,330"
Sidewalk,Icehouse,"5,260,142","263,758,330"
Code Blue,Icehouse,"3,211,649","263,758,330"
Big Wheel,Icehouse,"781,450","263,758,330"
Full Circle,Icehouse,"203,268","263,758,330"
Icehouse,Icehouse,24389333,"263,758,330"
The Angels,The Angels,"49,450,583","160,386,636"
Dark Room,The Angels,"33,369,869","160,386,636"
Face To Face,The Angels,"26,688,885","160,386,636"
Howling,The Angels,"14,081,991","160,386,636"
Beyond Salvation,The Angels,"8,285,712","160,386,636"
No Exit,The Angels,"6,305,593","160,386,636"
Night Attack,The Angels,"1,823,257","160,386,636"
Watch The Red,The Angels,"1,180,283","160,386,636"
Two Minute Warning,The Angels,"758,906","160,386,636"
Take It To The Streets,The Angels,"666,072","160,386,636"
Red Back Fever,The Angels,"655,694","160,386,636"
Ninety Nine,The Angels,"323,864","160,386,636"
Skin And Bone,The Angels,"319,906","160,386,636"
Talk The Talk,The Angels,"278,532","160,386,636"
Left Hand Drive,The Angels,"184,588","160,386,636"
Diesel And Dust,Midnight Oil,"446,660,901","671,311,248"
Blue Sky Mining,Midnight Oil,"85,484,084","671,311,248"
"10,9,8,7,6,5,4,3,2,1",Midnight Oil,"51,861,219","671,311,248"
Earth And Sun And Moon,Midnight Oil,"10,811,189","671,311,248"
Red Snails In The Sunset,Midnight Oil,"9,053,862","671,311,248"
Head Injuries,Midnight Oil,"5,974,113","671,311,248"
Resist,Midnight Oil,"5,852,676","671,311,248"
The Makarrata Project,Midnight Oil,"4,730,604","671,311,248"
Place Without A Postcard,Midnight Oil,"4,228,188","671,311,248"
Breathe,Midnight Oil,"3,839,316","671,311,248"
Midnight Oil,Midnight Oil,"2,774,940","671,311,248"
Redneck Wonderland,Midnight Oil,"2,491,942","671,311,248"
Capricornia,Midnight Oil,"2,039,865","671,311,248"
Kick,INXS,"1,530,187,675","2,500,052,721"
X,INXS,"276,880,694","2,500,052,721"
Welcome To Wherever You Are,INXS,"221,331,217","2,500,052,721"
Shabooh Shoobah,INXS,"118,024,125","2,500,052,721"
The Swing,INXS,"104,283,409","2,500,052,721"
Listen Like Thieves,INXS,"88,373,563","2,500,052,721"
Elegantly Wasted,INXS,"26,270,577","2,500,052,721"
Switch,INXS,"21,849,569","2,500,052,721"
"Full Moon, Dirty Hearts",INXS,"12,834,886","2,500,052,721"
Underneath The Colours,INXS,"5,859,265","2,500,052,721"
The Boys Light Up,Australian Crawl,"119,177,055","277,104,864"
Sirocco,Australian Crawl,"95,063,375","277,104,864"
Sons Of Beaches,Australian Crawl,"10,674,382","277,104,864"
Phalanx,Australian Crawl,"6,198,406","277,104,864"
Between A Rock And A Hard Place,Australian Crawl,"2,223,262","277,104,864"
The Final Wave,Australian Crawl,"1,599,548","277,104,864"
Big Bad Noise,Choirboys,"100,090,813","109,939,191"
The Choirboys,Choirboys,"1,974,848","109,939,191"
Midnight Sun,Choirboys,"417,391","109,939,191"
Feels Good,Choirboys,"285,849","109,939,191"
Dancing on the Grave of Rock 'n' Roll,Choirboys,"111,753","109,939,191"
Evolver,Choirboys,"101,926","109,939,191"
Matchbook,Ian Moss,"33,690,209",37930509
Worlds Away,Ian Moss,"277,259",37930509
Petrolhead,Ian Moss,"208,286",37930509
Six Strings,Ian Moss,"7,958,626",37930509
Let's All Get Together,Ian Moss,"4,264,865",37930509
Soul On West 53rd,Ian Moss,"457,823",37930509
Ian Moss,Ian Moss,"855,330",37930509
Rivers Run Dry,Ian Moss,"485,914",37930509
Rose Tattoo,Rose Tattoo,"27,312,881",29843877
Assault & Battery,Rose Tattoo,"2,542,566",29843877
Scarred For Life,Rose Tattoo,"3,470,461",29843877
Southern Stars,Rose Tattoo,"1,078,604",29843877
Beats From A Single Drum,Rose Tattoo,"5,973,828",29843877
Pain,Rose Tattoo,"334,076",29843877
Blood Brothers,Rose Tattoo,"2,027,794",29843877
