The Screaming Jets,AC/DC,Noiseworks,Cold Chisel,Jimmy Barnes,Ian Moss,Icehouse,The Angels,Midnight Oil,Rose Tattoo,INXS,Australian Crawl,The Choirboys
Professional Misconduct,POWER UP,Evolution,The Big Five-0 Live,DEFIANT,Live At Anitas,1984 Live Desk Tapes,Go For Broke (Live),"LIVE at the Old Lion, Adelaide 1982",Boggo Road Jail 93 (Live At Boggo Road),Listen Like Thieves (40th Anniversary Deluxe),Live at Billboard 1981,"LIVE at The Inferno, Traralgon 2000"
All for One (30 Year Anniversary Edition),Rock or Bust,Love Versus Money,"The Live Tapes Vol. 5: Live At The Bondi Lifesaver Feb 29, 1980",Blue Christmas (Deluxe),Live At The Enmore,ICEHOUSE Plays Flowers Live,Ninety Nine,RESIST,Staunch As At SS&A (Live),Shabooh Shoobah (40th Anniversary / Deluxe Edition),The Final Wave (Remastered),"1965, Life's a Beach"
Dirty Thirty,Live at River Plate,Touch,Blood Moon,Soul Deep 30 (Deluxe Edition),Rivers Run Dry (Deluxe Edition),Icehouse In Concert (Live),The Wireless Show,The Makarrata Project,Outlaws,Back in Time,Between A Rock And A Hard Place (Remastered),Feels Good
Gotcha Covered,Black Ice,Noiseworks,"The Live Tapes Vol 4: The Last Stand of the Sydney Entertainment Centre, December 17 and 18, 2015",Soul Deep 30,Rivers Run Dry,DubHOUSE Live,Talk The Talk (Remixed 2020),"Armistice Day: Live At The Domain, Sydney",Transmissions on Air 1981,Kick 25 (Deluxe Edition),Phalanx (Remastered),Pub Rock (Live)
Chrome,Stiff Upper Lip,,"The Live Tapes Vol. 3: Live At The Manly Vale Hotel, June 7, 1980",Flesh And Blood,Live,The Extended Mixes Vol. 2,Take It To The Streets (Remixed 2020),Punter Barrier BPM (Live),Scarred For Live 1980-1982,The Very Best,Sons Of Beaches (Remastered),Big Bad & Acoustic
Do Ya,Ballbreaker,,The Perfect Crime (Deluxe),Modus Operandi (Live At The Hordern Pavilion 2019),Ian Moss,The Extended Mixes Vol. 1,Dark Room (Recharged),"Live At The Wireless, 1978 - Studio 221",Blood Brothers (2018 Bonus Reissue),Switch,Sirocco (Remastered),So Easy
Rock On,Live (Collector's Edition),,The Perfect Crime,My Criminal Record (Deluxe Edition),Soul On West 53rd,Meltdown (The Remixes),No Exit (Recharged),Lasseter's Gold (Unreleased Demos),Tatts: Live in Brunswick,Elegantly Wasted (Remastered),The Boys Light Up (Remastered),Yo-Yo
World Gone Crazy,Live,,"The Live Tapes Vol. 2: Live At Bombay Rock, April 27, 1979",My Criminal Record,Let's All Get Together,The Berlin Tapes,Symphony Of Angels,Chiko Locallo (B-sides & Rarities),Pain (2022 Remastered),"Full Moon, Dirty Hearts",,Run to Paradise
The Screaming Jets,The Razors Edge,,"The Live Tapes Vol. 1: Live At The Hordern Pavilion, April 18, 2012",Working Class Boy (The Soundtracks),Six Strings (10th Anniversary Edition),Full Circle,Face To Face Recharged,Capricornia,25 To Life (Remastered),Welcome To Wherever You Are (Remastered),,Evolver
